gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2023-03-12,0,1,0.2626834618,0.1140023936,0.01818021034,0.005274500088,0.001455592515,0.000399780255,1,1,2309,Kent State,79.37,Midwest,13,110
mens,2023-03-12,0,1,0.5756643496,0.3105525761,0.1311022559,0.05001001263,0.02087142457,0.008359643428,1,1,66,Iowa State,84.52,Midwest,6,112
mens,2023-03-12,1,0.5659697153,0.2543286392,0.1281299868,0.04389992401,0.01378215948,0.005594645349,0.002184620741,0,1,344,Mississippi State,81.85,Midwest,11a,114
mens,2023-03-12,1,0.4340302847,0.1700070112,0.07713903471,0.02072208437,0.00519201663,0.001634618675,0.000506246766,0,1,221,Pittsburgh,79.66,Midwest,11b,115
mens,2023-03-12,0,1,0.8742218958,0.4614397629,0.1643940271,0.05351693974,0.02098271161,0.007937184461,1,1,2752,Xavier,84.36,Midwest,3,116
mens,2023-03-12,0,1,0.1257781042,0.02273863957,0.00248124394,0.000266180173,4.16E-05,6.75E-06,1,1,338,Kennesaw State,73.28,Midwest,14,118
mens,2023-03-12,0,1,0.6040124499,0.2192916101,0.124536951,0.04608702836,0.02423524922,0.01202848944,1,1,245,Texas A&M,85.13,Midwest,7,120
mens,2023-03-12,0,1,0.3959875501,0.1166997008,0.05560908109,0.01669066061,0.006185567689,0.002222538172,1,1,213,Penn State,82.78,Midwest,10,122
mens,2023-03-12,0,1,0.9213916586,0.646431553,0.4528474829,0.2222344824,0.1400075098,0.08269913436,1,1,251,Texas,90.08,Midwest,2,124
mens,2023-03-12,0,1,0.07860834143,0.01757713618,0.004406949768,0.000665104233,0.000132683768,2.71E-05,1,1,2142,Colgate,76.2,Midwest,15,126
